Rack,Position,ID,Date,Treatment,Alive.Dead,Notes
one,1,1,9/8/2014,Treatment,Dead,
one,2,2,9/8/2014,Treatment,Dead,
one,3,3,9/8/2014,Control,Dead,
one,4,4,9/8/2014,Treatment,Dead,
one,5,5,9/8/2014,Control,Dead,
one,6,6,9/8/2014,Control,Dead,
one,7,7,9/8/2014,Treatment,Dead,
one,8,8,9/8/2014,Control,Dead,seedling dicot
one,9,9,9/8/2014,Control,Alive,
one,10,10,9/8/2014,Treatment,Dead,
one,11,11,9/8/2014,Control,Dead,
one,12,12,9/8/2014,Control,Alive,close to dead
one,13,13,9/8/2014,Control,Dead,
one,14,14,9/8/2014,Control,Alive,also dicot seedling
one,15,15,9/8/2014,Treatment,Dead,
one,16,16,9/8/2014,Treatment,Alive,
one,17,17,9/8/2014,Control,Dead,
one,18,18,9/8/2014,Treatment,Dead,
one,19,19,9/8/2014,Treatment,Dead,
one,20,20,9/8/2014,Treatment,Dead,
one,21,21,9/8/2014,Treatment,Dead,
one,22,22,9/8/2014,Treatment,Dead,
one,23,23,9/8/2014,Treatment,Dead,
one,24,24,9/8/2014,Control,Alive,
one,25,25,9/8/2014,NA,NA,already removed
one,26,26,9/8/2014,Control,Dead,
one,27,27,9/8/2014,Control,Alive,
one,28,28,9/8/2014,Treatment,Dead,
one,29,29,9/8/2014,Treatment,Dead,
one,30,30,9/8/2014,Treatment,Dead,
one,31,31,9/8/2014,Treatment,Dead,
one,32,32,9/8/2014,Treatment,Dead,
one,33,33,9/8/2014,Treatment,Dead,
one,34,34,9/8/2014,Treatment,Alive,near death
one,35,35,9/8/2014,Treatment,Dead,
one,36,36,9/8/2014,Control,Dead,
one,37,37,9/8/2014,Treatment,Dead,
one,38,38,9/8/2014,Treatment,Dead,
one,39,39,9/8/2014,Treatment,Dead,
one,40,40,9/8/2014,Control,Alive,near death's door
one,41,41,9/8/2014,Treatment,Dead,
one,42,42,9/8/2014,Control,Dead,
one,43,43,9/8/2014,Treatment,Dead,
one,44,44,9/8/2014,Control,Alive,smooshed and close to death
one,45,45,9/8/2014,Control,Alive,
one,46,46,9/8/2014,Treatment,Dead,
one,47,47,9/8/2014,Treatment,Dead,
one,48,48,9/8/2014,Control,Alive,
one,49,49,9/8/2014,Control,Dead,
one,50,50,9/8/2014,Treatment,Dead,
one,51,51,9/8/2014,Treatment,Dead,
one,52,52,9/8/2014,Control,Alive,dicot seedling
one,53,53,9/8/2014,Treatment,Dead,
one,54,54,9/8/2014,Treatment,Alive,Barely alive (up str
one,55,55,9/8/2014,Treatment,Alive,Barely alive (up str
one,56,56,9/8/2014,Treatment,Dead,
one,57,57,9/8/2014,Treatment,Dead,
one,58,58,9/8/2014,Treatment,Dead,
one,59,59,9/8/2014,Treatment,Dead,
one,60,60,9/8/2014,Control,Dead,
one,61,61,9/8/2014,Control,Alive,
one,62,62,9/8/2014,Control,Alive,plus dicot seedling
one,63,63,9/8/2014,Treatment,Dead,
one,64,64,9/8/2014,Control,Alive,plus dicot seedling
one,65,65,9/8/2014,Treatment,Dead,
one,66,66,9/8/2014,Treatment,Dead,
one,67,67,9/8/2014,Treatment,Dead,
one,68,68,9/8/2014,Control,Alive,close to death
one,69,69,9/8/2014,Treatment,Dead,
one,70,70,9/8/2014,Treatment,Dead,
one,71,71,9/8/2014,Control,Dead,
one,72,72,9/8/2014,Control,Alive,
one,73,73,9/8/2014,Control,Alive,
one,74,74,9/8/2014,Control,Dead,
one,75,75,9/8/2014,Control,Dead,
one,76,76,9/8/2014,Control,Dead,
one,77,77,9/8/2014,Control,Dead,
one,78,78,9/8/2014,Control,Alive,smooshed down
one,79,79,9/8/2014,Control,Dead,
one,80,80,9/8/2014,Treatment,Dead,
one,81,81,9/8/2014,Treatment,Dead,
one,82,82,9/8/2014,Treatment,Dead,
one,83,83,9/8/2014,Control,Dead,dicot seedling
one,84,84,9/8/2014,Control,Dead,dicot seedling
one,85,85,9/8/2014,Treatment,Alive,barely alive 
one,86,86,9/8/2014,Treatment,Dead,
one,87,87,9/8/2014,Treatment,Dead,
one,88,88,9/8/2014,Control,Dead,dicot seedling
one,89,89,9/8/2014,Control,Alive,barely alive and dicot seedling
one,90,90,9/8/2014,Treatment,Dead,
one,91,91,9/8/2014,Treatment,Dead,
one,92,92,9/8/2014,Control,Alive,
one,93,93,9/8/2014,Treatment,Dead,
one,94,94,9/8/2014,Control,Alive,
one,95,95,9/8/2014,Treatment,Dead,
one,96,96,9/8/2014,Control,Alive,
one,97,97,9/8/2014,Control,Dead,
one,98,98,9/8/2014,Treatment,Dead,
2,1,99,9/8/2014,Treatment,Dead,
2,2,100,9/8/2014,Treatment,Dead,
2,3,101,9/8/2014,Treatment,Dead,
2,4,102,9/8/2014,Control,Dead,
2,5,103,9/8/2014,Control,Alive,
2,6,104,9/8/2014,Treatment,Dead,
2,7,105,9/8/2014,Control,Dead,
2,8,106,9/8/2014,Control,Alive,barely plus dicot
2,9,107,9/8/2014,Control,Alive,
2,10,108,9/8/2014,Treatment,Dead,
2,11,109,9/8/2014,Treatment,Dead,
2,12,110,9/8/2014,Control,Dead,
2,13,111,9/8/2014,Control,Dead,
2,14,112,9/8/2014,Control,Dead,
2,15,113,9/8/2014,Control,Alive,
2,16,114,9/8/2014,Control,Dead,
2,17,115,9/8/2014,Control,Dead,
2,18,116,9/8/2014,Treatment,Dead,
2,19,117,9/8/2014,Control,Alive,barely
2,20,118,9/8/2014,Control,Dead,
2,21,119,9/8/2014,Treatment,Dead,
2,22,120,9/8/2014,Control,Alive,
2,23,121,9/8/2014,Treatment,Dead,dicot seedling
2,24,122,9/8/2014,Control,Alive,
2,25,123,9/8/2014,Control,Dead,
2,26,124,9/8/2014,Treatment,Dead,
2,27,125,9/8/2014,Control,Dead,
2,28,126,9/8/2014,Treatment,Dead,
2,29,127,9/8/2014,Control,Alive,
2,30,128,9/8/2014,Control,Alive,
2,31,129,9/8/2014,Control,Dead,
2,32,130,9/8/2014,Treatment,Dead,
2,33,131,9/8/2014,Control,Alive,
2,34,132,9/8/2014,Control,Alive,
2,35,133,9/8/2014,Control,Dead,dicot seedling
2,36,134,9/8/2014,Control,Alive,
2,37,135,9/8/2014,Treatment,Dead,
2,38,136,9/8/2014,Control,Dead,
2,39,137,9/8/2014,Control,Dead,
2,40,138,9/8/2014,Control,Dead,
2,41,139,9/8/2014,Treatment,Alive,
2,42,140,9/8/2014,Treatment,Dead,
2,43,141,9/8/2014,Treatment,Dead,
2,44,142,9/8/2014,Control,Alive,
2,45,143,9/8/2014,Control,Alive,
2,46,144,9/8/2014,Control,Dead,
2,47,145,9/8/2014,Treatment,Dead,
2,48,146,9/8/2014,Treatment,Dead,
2,49,147,9/8/2014,Treatment,Dead,
2,50,148,9/8/2014,Control,Alive,
2,51,149,9/8/2014,Treatment,Dead,
2,52,150,9/8/2014,Control,Alive,
2,53,151,9/8/2014,Treatment,Dead,
2,54,152,9/8/2014,Control,Dead,dicot seedling
2,55,153,9/8/2014,Treatment,Dead,
2,56,154,9/8/2014,Treatment,Dead,
2,57,155,9/8/2014,Treatment,Dead,
2,58,156,9/8/2014,Treatment,Alive,
2,59,157,9/8/2014,Control,Dead,
2,60,158,9/8/2014,Treatment,Dead,
2,61,159,9/8/2014,Control,Dead,
2,62,160,9/8/2014,Treatment,Dead,
2,63,161,9/8/2014,Control,Alive,
2,64,162,9/8/2014,Control,Dead,
2,65,163,9/8/2014,Control,Dead,
2,66,164,9/8/2014,Treatment,Dead,
2,67,165,9/8/2014,Control,Alive,
2,68,166,9/8/2014,Control,Alive,
2,69,167,9/8/2014,Control,Dead,
2,70,168,9/8/2014,Treatment,Dead,
2,71,169,9/8/2014,Treatment,Dead,
2,72,170,9/8/2014,Control,Alive,
2,73,171,9/8/2014,Treatment,Dead,
2,74,172,9/8/2014,Treatment,Dead,
2,75,173,9/8/2014,Treatment,Dead,
2,76,174,9/8/2014,Control,Dead,
2,77,175,9/8/2014,NA,NA,cone gone
2,78,176,9/8/2014,Treatment,Dead,
2,79,177,9/8/2014,Control,Dead,
2,80,178,9/8/2014,Control,Alive,
2,81,179,9/8/2014,Control,Dead,
2,82,180,9/8/2014,Treatment,Dead,
2,83,181,9/8/2014,Treatment,Dead,
2,84,182,9/8/2014,Control,Alive,
2,85,183,9/8/2014,Treatment,Dead,
2,86,184,9/8/2014,Treatment,Dead,
2,87,185,9/8/2014,Control,Dead,dicot seedling
2,88,186,9/8/2014,Treatment,Dead,
2,89,187,9/8/2014,Control,Dead,dicot seedling
2,90,188,9/8/2014,NA,NA,cone gone
2,91,189,9/8/2014,Control,Dead,
2,92,190,9/8/2014,Treatment,Dead,
2,93,191,9/8/2014,Treatment,Dead,
2,94,192,9/8/2014,Treatment,Dead,
2,95,193,9/8/2014,Control,Alive,
2,96,194,9/8/2014,Treatment,Dead,
2,97,195,9/8/2014,Control,Dead,
2,98,196,9/8/2014,Treatment,Dead,
3,1,197,9/8/2014,Treatment,Dead,
3,2,198,9/8/2014,Treatment,Dead,
3,3,199,9/8/2014,Treatment,Dead,
3,4,200,9/8/2014,Treatment,Dead,
3,5,201,9/8/2014,Treatment,Dead,
3,6,202,9/8/2014,Treatment,Dead,
3,7,203,9/8/2014,Control,Alive,
3,8,204,9/8/2014,Treatment,Dead,
3,9,205,9/8/2014,Control,Alive,
3,10,206,9/8/2014,Control,Alive,
3,11,207,9/8/2014,Control,Alive,
3,12,208,9/8/2014,Treatment,Dead,
3,13,209,9/8/2014,Treatment,Dead,
3,14,210,9/8/2014,Treatment,Dead,
3,15,211,9/8/2014,Control,Dead,
3,16,212,9/8/2014,Control,Dead,
3,17,213,9/8/2014,Control,Alive,
3,18,214,9/8/2014,Control,Dead,dicot seedling
3,19,215,9/8/2014,Control,Alive,
3,20,216,9/8/2014,Treatment,Dead,
3,21,217,9/8/2014,Control,Alive,
3,22,218,9/8/2014,Control,Alive,
3,23,219,9/8/2014,Control,Alive,
3,24,220,9/8/2014,Control,Dead,
3,25,221,9/8/2014,Treatment,Dead,
3,26,222,9/8/2014,Treatment,Dead,
3,27,223,9/8/2014,Treatment,Dead,
3,28,224,9/8/2014,Treatment,Dead,
3,29,225,9/8/2014,Treatment,Dead,
3,30,226,9/8/2014,Treatment,Dead,
3,31,227,9/8/2014,Control,Alive,
3,32,228,9/8/2014,Treatment,Dead,
3,33,229,9/8/2014,Control,Alive,
3,34,230,9/8/2014,NA,NA,cone gone
3,35,231,9/8/2014,Treatment,Dead,
3,36,232,9/8/2014,Treatment,Dead,
3,37,233,9/8/2014,Treatment,Dead,
3,38,234,9/8/2014,Control,Alive,
3,39,235,9/8/2014,Treatment,Dead,
3,40,236,9/8/2014,Control,Alive,
3,41,237,9/8/2014,Control,Alive,
3,42,238,9/8/2014,Control,Alive,
3,43,239,9/8/2014,Treatment,Dead,
3,44,240,9/8/2014,Control,Alive,
3,45,241,9/8/2014,Control,Alive,
3,46,242,9/8/2014,Treatment,Dead,
3,47,243,9/8/2014,Treatment,Dead,
3,48,244,9/8/2014,Treatment,Dead,
3,49,245,9/8/2014,Treatment,Dead,
3,50,246,9/8/2014,Treatment,Dead,
3,51,247,9/8/2014,Control,Alive,
3,52,248,9/8/2014,Control,Alive,
3,53,249,9/8/2014,Control,Dead,
3,54,250,9/8/2014,Control,Alive,
3,55,251,9/8/2014,Control,Alive,
